,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
2,1600000US0224230,region.place,2013,40905,26021,44704,32442,30540,52153,60682,32525,27150,41066,2.4,16.8,1.6,19.3,19.9,16.5,7.0,10.7,5.8,Fairbanks,AK
4,1600000US0240645,region.place,2013,44543,27866,69483,53607,42463,65625,69740,44208,36364,47100,2.5,8.0,2.1,9.3,18.9,17.3,10.7,18.8,12.4,Knik-Fairview,AK
5,1600000US0216750,region.place,2013,39173,21768,61667,35159,27936,34803,51960,34375,20851,36313,1.5,8.4,0.5,20.1,19.5,14.4,8.5,16.1,11.0,College,AK
6,1600000US0275077,region.place,2013,42608,30913,62321,52821,39889,44219,77000,43587,28250,42316,1.9,4.7,0.3,13.2,26.0,18.4,6.5,14.5,14.5,Tanaina,AK
7,1600000US0242832,region.place,2013,44719,33594,61910,52512,43254,63796,63333,38378,22885,43227,2.8,5.6,1.2,11.6,19.9,22.3,4.5,16.0,16.1,Lakes,AK
9,1600000US0237250,region.place,2013,37297,30063,62778,58806,42089,67375,60350,38198,53594,45212,4.2,5.4,0.0,13.1,19.7,25.6,7.7,13.3,11.0,Kalifornsky,AK
13,1600000US0247735,region.place,2013,37383,17005,52097,41658,30054,40920,76786,37250,15393,53389,8.8,13.1,1.4,14.5,15.8,15.4,8.7,10.7,11.6,Meadow Lakes,AK
17,1600000US0206520,region.place,2013,49773,36991,70625,41734,38402,78071,77845,29467,11930,56827,1.7,9.1,0.8,12.7,20.6,14.5,4.3,23.4,12.9,Bethel,AK
21,1600000US0233140,region.place,2013,36953,22621,51429,39598,30914,40192,56250,32610,31964,33209,6.3,10.8,1.4,21.4,14.0,16.1,9.0,10.8,10.2,Homer,AK
23,1600000US0254050,region.place,2013,36321,19157,63571,55132,34341,55781,83816,52589,27868,31475,2.4,6.8,7.2,12.2,18.1,19.1,4.6,13.0,16.6,Nikiski,AK
26,1600000US0271640,region.place,2013,37000,22917,60521,37892,28761,48512,65625,29063,21307,33516,5.0,15.4,0.4,16.4,15.9,17.9,11.5,8.2,9.3,Soldotna,AK
27,1600000US0207070,region.place,2013,33333,22647,53750,36563,28042,59000,51875,40761,17750,27315,1.2,10.8,4.8,18.1,15.1,19.0,6.6,16.5,7.9,Big Lake,AK
28,1600000US0282200,region.place,2013,40069,28902,64342,48581,36691,32500,82750,49722,13113,43590,4.2,2.1,0.7,19.1,26.8,9.4,7.7,14.8,15.2,Valdez,AK
29,1600000US0224980,region.place,2013,53395,40568,79506,60726,52862,59038,81518,54474,0,43482,1.4,2.6,1.7,10.4,12.4,24.8,5.9,20.1,20.7,Farmers Loop,AK
31,1600000US0229130,region.place,2013,78906,37364,75382,46513,44667,47583,78520,17071,0,45000,2.8,2.6,0.0,8.3,24.3,2.8,5.2,30.2,23.8,Goldstream,AK
34,1600000US0260310,region.place,2013,32292,24375,58387,38625,29083,44167,53125,38704,21346,27829,3.4,15.7,2.8,16.1,13.7,20.2,6.0,16.6,5.5,Petersburg,AK
37,1600000US0217410,region.place,2013,50862,38051,85068,40556,39121,77866,65417,40833,35595,38906,0.1,0.0,0.0,9.4,20.9,14.0,8.1,26.9,20.6,Cordova,AK
39,1600000US0286380,region.place,2013,31413,26772,46364,32219,29044,31167,95375,30769,43333,31020,9.2,10.8,0.8,24.0,24.3,8.9,2.7,11.7,7.6,Wrangell,AK
41,1600000US0265345,region.place,2013,40833,31528,64792,49696,44423,40500,50938,53125,16111,52266,2.0,11.4,1.6,12.1,24.0,11.5,3.0,13.8,20.6,Ridgeway,AK
44,1600000US0264380,region.place,2013,37875,32147,100061,95167,90544,101532,66429,84226,71458,95987,1.5,1.9,0.0,7.6,6.8,10.1,8.9,20.7,42.5,Prudhoe Bay,AK
45,1600000US0231050,region.place,2013,32273,25481,39091,34000,30265,31786,36094,27214,0,32083,10.3,15.5,3.7,13.5,26.8,8.8,4.7,10.0,6.7,Haines,AK
46,1600000US0205585,region.place,2013,44952,23103,56055,33545,31858,51625,30150,36556,32885,33438,0.0,0.0,3.6,20.5,14.5,27.5,7.7,13.2,13.0,Bear Creek,AK
50,1600000US0227090,region.place,2013,35000,27237,50682,38264,31530,38824,55313,25764,43750,32000,2.2,9.4,2.6,19.0,29.3,15.9,8.3,7.2,6.1,Fritz Creek,AK
61,1600000US0233470,region.place,2013,31875,10833,34000,10357,10682,38125,0,12422,8750,15972,7.4,32.6,0.0,12.6,13.7,31.6,0.0,2.1,0.0,Hooper Bay,AK
63,1600000US0232150,region.place,2013,43650,22667,85429,80750,42903,43681,80208,76429,4699,50250,1.9,1.7,5.7,7.2,19.1,7.6,8.8,23.9,24.1,Healy,AK
67,1600000US0218925,region.place,2013,33173,27634,52206,49250,33558,27500,56875,29598,14583,41118,0.0,6.1,4.2,27.8,17.5,14.8,7.6,12.9,9.1,Diamond Ridge,AK
68,1600000US0218620,region.place,2013,47734,38333,69583,51250,47422,45804,62500,43125,0,44500,0.0,5.4,2.9,5.4,32.7,13.3,6.8,18.0,15.5,Delta Junction,AK
71,1600000US0209657,region.place,2013,41477,26103,53958,48077,37596,48077,87292,65750,32875,25417,5.1,11.7,0.0,14.0,20.6,13.2,10.5,11.7,13.2,Buffalo Soapstone,AK
78,1600000US0285680,region.place,2013,50417,25192,62692,47955,31136,87647,44063,21912,0,36964,0.0,0.0,9.0,6.2,22.1,30.8,7.3,21.1,3.5,Womens Bay,AK
79,1600000US0251180,region.place,2013,29375,18500,36875,15769,16667,51250,0,16154,8750,25208,6.6,9.2,5.3,35.5,32.9,10.5,0.0,0.0,0.0,Mountain Village,AK
83,1600000US0240670,region.place,2013,31875,18125,65000,39500,25350,67625,61250,32188,40227,24219,0.0,14.5,0.0,12.8,18.6,9.9,8.7,21.5,14.0,Knik River,AK
85,1600000US0242380,region.place,2013,23750,18125,34028,18942,18750,16667,0,21250,15938,25156,4.9,29.5,0.0,29.5,8.2,8.2,3.3,8.2,8.2,Kwethluk,AK
87,1600000US0254480,region.place,2013,45385,30625,46875,26635,27269,37829,54688,23333,0,25729,0.0,7.7,0.0,20.8,39.2,20.0,0.0,10.0,2.3,Ninilchik,AK
88,1600000US0268230,region.place,2013,36250,10536,43750,11063,10926,0,0,13333,10795,23750,4.0,0.0,12.0,32.0,24.0,20.0,0.0,0.0,8.0,Selawik,AK
89,1600000US0255140,region.place,2013,36563,16771,51875,15000,16635,78036,0,20192,10938,29688,3.3,21.7,0.0,16.7,8.3,13.3,3.3,26.7,6.7,Noorvik,AK
90,1600000US0226910,region.place,2013,0,9875,25417,26042,24405,22083,0,24375,42000,8875,0.0,46.7,0.0,40.0,0.0,0.0,0.0,0.0,13.3,Fox River,AK
92,1600000US0201200,region.place,2013,18750,7102,27500,7500,7270,52813,0,10795,9375,21667,19.1,25.5,6.4,8.5,27.7,4.3,2.1,0.0,6.4,Alakanuk,AK
93,1600000US0278240,region.place,2013,41875,16818,38333,16429,16600,45833,0,15000,18750,31875,0.0,13.5,2.7,21.6,29.7,6.8,13.5,9.5,2.7,Toksook Bay,AK
96,1600000US0226870,region.place,2013,0,30600,42232,41071,34239,41161,0,0,0,53438,0.0,0.0,0.0,38.3,10.1,0.0,18.4,30.0,3.2,Fox,AK
98,1600000US0269770,region.place,2013,41875,12917,40625,12708,12833,0,0,11250,28250,22500,8.7,6.5,6.5,19.6,17.4,23.9,17.4,0.0,0.0,Shishmaref,AK
100,1600000US0240400,region.place,2013,27292,20000,58958,40521,25859,49375,50313,25893,13438,40417,0.0,16.9,2.0,14.2,17.6,27.7,14.2,5.4,2.0,Klawock,AK
103,1600000US0264600,region.place,2013,44167,11667,40000,11058,11307,0,0,13611,7417,11875,7.5,10.0,0.0,10.0,50.0,12.5,0.0,10.0,0.0,Quinhagak,AK
106,1600000US0231710,region.place,2013,35250,16563,36750,29167,19531,19063,0,11389,0,33828,2.2,5.9,15.4,23.5,18.4,17.6,0.0,9.6,7.4,Happy Valley,AK
112,1600000US0203550,region.place,2013,38264,29688,42917,34583,33375,65938,73750,31250,16875,39306,6.8,11.1,3.4,13.7,36.8,13.7,5.1,9.4,0.0,Aniak,AK
116,1600000US0237975,region.place,2013,22083,12273,17031,15089,12917,0,0,14375,4464,18750,16.7,33.3,9.5,4.8,16.7,19.0,0.0,0.0,0.0,Kasigluk,AK
119,1600000US0226760,region.place,2013,42708,32917,66563,21833,28594,61667,84583,21477,21094,31719,6.6,16.0,1.9,13.2,17.0,18.9,9.4,3.8,13.2,Fort Yukon,AK
120,1600000US0238090,region.place,2013,92963,10268,0,35147,24698,0,0,27031,0,24138,0.0,0.0,0.0,0.0,14.0,0.0,0.0,63.2,22.8,Kasilof,AK
122,1600000US0212680,region.place,2013,21250,7132,26875,12813,9306,0,0,13750,6719,23333,36.7,13.3,0.0,16.7,20.0,10.0,0.0,0.0,3.3,Chefornak,AK
124,1600000US0267680,region.place,2013,38929,13125,46250,7857,9034,0,0,11042,0,16667,10.0,0.0,0.0,0.0,70.0,15.0,0.0,5.0,0.0,Scammon Bay,AK
125,1600000US0277140,region.place,2013,56250,12115,54063,52639,38750,58333,95313,6875,0,24063,3.3,9.9,0.0,1.7,27.3,20.7,19.0,14.0,4.1,Thorne Bay,AK
127,1600000US0239960,region.place,2013,57083,15250,31250,9205,10789,0,0,9063,11563,43750,21.4,3.6,0.0,3.6,14.3,32.1,0.0,10.7,14.3,Kivalina,AK
130,1600000US0254700,region.place,2013,38750,12708,33636,17250,14722,0,0,17115,7188,15625,0.0,0.0,0.0,66.7,23.3,10.0,0.0,0.0,0.0,Noatak,AK
132,1600000US0228740,region.place,2013,33594,14750,50125,24531,23571,45069,66250,34844,0,24792,15.6,0.0,0.0,12.5,28.1,17.2,14.1,0.0,12.5,Glennallen,AK
138,1600000US0261788,region.place,2013,0,0,47375,7125,5250,0,0,30125,0,32083,0.0,0.0,9.1,12.1,30.3,0.0,18.2,9.1,21.2,Point MacKenzie,AK
141,1600000US0200870,region.place,2013,38750,11250,36250,7500,9688,0,51250,14375,4750,7411,12.0,8.0,0.0,20.0,32.0,4.0,12.0,0.0,12.0,Akiak,AK
146,1600000US0279120,region.place,2013,0,8250,14167,11250,10417,0,0,11111,6667,13750,62.5,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,Tuntutuliak,AK
152,1600000US0222250,region.place,2013,37188,9375,37500,11250,10833,63125,0,9107,10625,25536,0.0,24.0,0.0,12.0,20.0,32.0,4.0,8.0,0.0,Elim,AK
153,1600000US0279830,region.place,2013,0,0,66584,65941,56920,0,0,0,0,16674,0.0,0.0,0.0,0.0,0.0,15.2,54.9,0.0,29.9,Two Rivers,AK
155,1600000US0247000,region.place,2013,29375,5250,37000,16071,12875,0,0,14219,10000,27500,6.7,6.7,0.0,13.3,46.7,13.3,0.0,13.3,0.0,Marshall,AK
162,1600000US0275480,region.place,2013,39167,26667,59583,36875,32708,47813,63333,41250,8750,32083,0.0,9.3,0.0,20.0,20.0,36.0,5.3,2.7,6.7,Tazlina,AK
164,1600000US0204430,region.place,2013,0,10417,21250,12344,11818,0,0,15750,11667,34375,20.8,37.5,0.0,16.7,12.5,0.0,0.0,8.3,4.2,Atmautluak,AK
166,1600000US0201970,region.place,2013,64375,6932,75625,18929,12292,0,0,19000,3750,18125,8.7,8.7,0.0,8.7,0.0,21.7,0.0,43.5,8.7,Ambler,AK
169,1600000US0228590,region.place,2013,27292,26528,125625,32813,26726,106042,0,11477,0,30000,0.0,23.3,0.0,20.0,20.0,0.0,0.0,0.0,36.7,Glacier View,AK
171,1600000US0256350,region.place,2013,24375,15536,29000,14063,15000,0,51875,11375,3125,23750,7.4,38.9,0.0,22.2,14.8,7.4,3.7,5.6,0.0,Nulato,AK
172,1600000US0279230,region.place,2013,85500,10000,0,8594,8875,0,0,7500,14375,12250,10.0,10.0,0.0,10.0,10.0,20.0,0.0,40.0,0.0,Tununak,AK
174,1600000US0239630,region.place,2013,48000,45417,66563,61750,52917,66042,61161,44063,0,64792,2.2,7.2,0.0,1.4,25.4,23.9,10.9,23.9,5.1,King Salmon,AK
177,1600000US0252210,region.place,2013,50625,13594,22083,6458,11250,50625,0,15417,0,13281,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Nanwalek,AK
181,1600000US0213340,region.place,2013,55417,23750,45893,30714,26250,32273,0,10417,0,26667,0.0,10.0,10.0,22.5,17.5,17.5,0.0,22.5,0.0,Chickaloon,AK
182,1600000US0264980,region.place,2013,0,51429,115000,110313,104643,128750,109219,78667,0,85625,0.0,0.0,0.0,6.1,0.0,9.2,1.0,19.4,64.3,Red Dog Mine,AK
183,1600000US0263610,region.place,2013,40625,4464,83281,44886,19000,0,0,42857,0,19375,10.7,10.7,0.0,7.1,17.9,7.1,0.0,28.6,17.9,Port Lions,AK
186,1600000US0217190,region.place,2013,0,10179,109615,97500,12411,0,0,107981,0,10759,0.0,3.9,0.0,5.9,0.0,5.9,0.0,15.7,68.6,Cooper Landing,AK
190,1600000US0241500,region.place,2013,0,27083,59167,28333,28047,0,0,28438,48750,22500,0.0,20.0,0.0,0.0,30.0,30.0,0.0,20.0,0.0,Koliganek,AK
191,1600000US0265590,region.place,2013,26875,11042,33125,11125,11094,0,0,11250,7500,12143,22.7,18.2,0.0,18.2,18.2,0.0,0.0,22.7,0.0,Ruby,AK
195,1600000US0231765,region.place,2013,0,0,57792,42826,17227,32031,0,0,0,4022,0.0,0.0,0.0,0.0,43.4,56.6,0.0,0.0,0.0,Harding-Birch Lakes,AK
197,1600000US0237430,region.place,2013,27500,12083,19750,6833,7569,0,0,6176,9250,20313,5.9,35.3,0.0,58.8,0.0,0.0,0.0,0.0,0.0,Kaltag,AK
199,1600000US0255030,region.place,2013,22188,10357,53438,11250,10556,0,0,14375,6250,11458,8.3,29.2,0.0,0.0,16.7,20.8,8.3,16.7,0.0,Nondalton,AK
201,1600000US0247990,region.place,2013,47500,21250,29375,12500,16250,0,0,11607,20313,22188,6.7,0.0,13.3,13.3,20.0,26.7,20.0,0.0,0.0,Mekoryuk,AK
204,1600000US0254085,region.place,2013,26250,8750,0,13438,9875,0,0,10833,0,21111,0.0,0.0,47.4,52.6,0.0,0.0,0.0,0.0,0.0,Nikolaevsk,AK
205,1600000US0230060,region.place,2013,0,4886,0,4524,4648,0,0,13333,7500,6250,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,Grayling,AK
206,1600000US0200650,region.place,2013,0,7500,15625,15938,13438,0,0,6250,15313,26000,0.0,50.0,37.5,0.0,0.0,0.0,0.0,12.5,0.0,Akhiok,AK
207,1600000US0284070,region.place,2013,63125,16250,50625,5000,14375,0,63125,6250,0,19375,0.0,25.0,0.0,0.0,0.0,50.0,0.0,8.3,16.7,White Mountain,AK
208,1600000US0282420,region.place,2013,0,9000,39167,17500,10000,0,0,4821,13250,48000,5.0,10.0,0.0,30.0,15.0,20.0,10.0,10.0,0.0,Venetie,AK
209,1600000US0238910,region.place,2013,0,0,40278,14861,14583,0,0,0,0,0,39.6,0.0,0.0,28.3,17.0,15.1,0.0,0.0,0.0,Kenny Lake,AK
210,1600000US0268370,region.place,2013,48750,30250,60417,58036,41667,38750,60833,48125,31250,58571,4.3,8.5,0.0,12.8,8.5,48.9,0.0,8.5,8.5,Seldovia Village,AK
213,1600000US0275050,region.place,2013,0,10536,0,15833,11625,0,0,21250,9375,15625,0.0,0.0,0.0,60.0,0.0,20.0,0.0,20.0,0.0,Tanacross,AK
216,1600000US0256600,region.place,2013,0,15000,41667,24250,17321,0,0,9688,21250,40313,0.0,0.0,14.3,0.0,71.4,14.3,0.0,0.0,0.0,Nunam Iqua,AK
217,1600000US0250800,region.place,2013,0,35875,0,23375,26563,0,0,35750,0,27188,0.0,0.0,36.6,0.0,24.4,39.0,0.0,0.0,0.0,Mosquito Lake,AK
218,1600000US0240840,region.place,2013,36250,11250,0,11250,11250,0,0,11250,6667,37917,13.3,6.7,13.3,20.0,46.7,0.0,0.0,0.0,0.0,Kobuk,AK
221,1600000US0217670,region.place,2013,0,0,0,24545,23750,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Covenant Life,AK
222,1600000US0203990,region.place,2013,0,15625,0,8750,11500,0,0,14375,0,33750,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,Arctic Village,AK
223,1600000US0232810,region.place,2013,0,0,0,10156,13750,0,0,0,0,0,0.0,0.0,43.5,0.0,0.0,56.5,0.0,0.0,0.0,Hollis,AK
224,1600000US0229180,region.place,2013,0,18750,38333,18333,18542,0,0,21667,0,19167,0.0,0.0,0.0,37.5,50.0,0.0,12.5,0.0,0.0,Golovin,AK
225,1600000US0243810,region.place,2013,0,9063,30000,11500,11023,0,0,10000,0,27813,30.0,30.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,Levelock,AK
226,1600000US0260200,region.place,2013,17188,9000,0,21250,11250,0,0,9500,3750,0,0.0,57.1,0.0,0.0,42.9,0.0,0.0,0.0,0.0,Perryville,AK
227,1600000US0251455,region.place,2013,0,8636,0,60170,22277,21938,0,0,0,21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Mud Bay,AK
231,1600000US0230500,region.place,2013,31667,13750,46250,31000,21583,63750,0,22083,0,30000,0.0,9.5,0.0,38.1,23.8,14.3,4.8,9.5,0.0,Gulkana,AK
233,1600000US0256220,region.place,2013,60804,60089,67500,12188,23750,0,0,81875,20833,60893,0.0,20.7,0.0,13.8,0.0,48.3,0.0,0.0,17.2,Northway,AK
235,1600000US0240510,region.place,2013,45714,23750,36667,23036,23194,3500,0,23036,28750,29583,0.0,0.0,0.0,20.0,60.0,0.0,0.0,20.0,0.0,Klukwan,AK
236,1600000US0200065,region.place,2013,24750,23250,76250,53750,38594,0,0,24250,0,39028,0.0,22.0,0.0,2.0,22.0,20.0,4.0,30.0,0.0,Adak,AK
237,1600000US0211690,region.place,2013,0,12250,0,58438,30417,0,0,60417,0,8000,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Central,AK
238,1600000US0220380,region.place,2013,0,10938,43333,0,8000,11250,0,0,0,25938,0.0,29.4,0.0,29.4,17.6,11.8,0.0,0.0,11.8,Eagle,AK
239,1600000US0276260,region.place,2013,0,25000,69000,31250,30694,44583,0,20625,0,31667,0.0,20.0,0.0,16.0,0.0,0.0,44.0,20.0,0.0,Tenakee Springs,AK
242,1600000US0214880,region.place,2013,0,15000,0,12250,12250,0,0,24375,10250,0,0.0,0.0,0.0,33.3,16.7,0.0,0.0,0.0,50.0,Circle,AK
245,1600000US0245790,region.place,2013,0,0,0,54583,23125,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,73.9,McCarthy,AK
247,1600000US0205750,region.place,2013,35000,9375,0,8750,9107,0,0,5455,8125,19167,0.0,0.0,0.0,30.0,20.0,10.0,0.0,40.0,0.0,Beaver,AK
249,1600000US0218510,region.place,2013,45000,18750,0,21750,20893,0,0,20833,0,23333,0.0,20.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,Deering,AK
252,1600000US0271090,region.place,2013,0,16250,0,7500,10938,0,0,8750,12500,14375,60.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,Sleetmute,AK
253,1600000US0279780,region.place,2013,0,11250,25000,31250,21250,0,0,0,9375,26667,0.0,50.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,Twin Hills,AK
254,1600000US0252915,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,55.6,0.0,Nelchina,AK
255,1600000US0212970,region.place,2013,0,0,54583,54583,5625,0,0,53750,0,30000,0.0,0.0,0.0,0.0,36.4,63.6,0.0,0.0,0.0,Chenega,AK
256,1600000US0215430,region.place,2013,0,0,0,6667,5735,0,0,0,3125,6563,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Clark's Point,AK
257,1600000US0258330,region.place,2013,0,13750,0,6875,8542,0,0,8333,0,43571,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Oscarville,AK
260,1600000US0243040,region.place,2013,0,28750,83750,40417,36250,0,0,20417,0,43611,0.0,0.0,0.0,7.7,23.1,0.0,0.0,69.2,0.0,Larsen Bay,AK
263,1600000US0220020,region.place,2013,0,0,0,20375,20750,0,0,0,0,0,0.0,76.9,0.0,0.0,0.0,0.0,0.0,23.1,0.0,Dry Creek,AK
266,1600000US0263390,region.place,2013,35000,23750,78333,36250,24375,0,0,23750,0,36250,10.0,10.0,5.0,5.0,30.0,5.0,0.0,25.0,10.0,Port Heiden,AK
268,1600000US0254150,region.place,2013,51250,22083,0,6964,13125,0,0,6250,21250,13438,0.0,20.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,Nikolai,AK
270,1600000US0201860,region.place,2013,0,20000,0,9167,12083,0,0,7500,18125,21000,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,Allakaket,AK
271,1600000US0278350,region.place,2013,0,0,0,0,43958,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Tonsina,AK
273,1600000US0245295,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Lowell Point,AK
275,1600000US0275380,region.place,2013,0,6731,0,50500,7308,0,0,0,0,0,0.0,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0,Tatitlek,AK
277,1600000US0261080,region.place,2013,0,10000,0,9167,9167,0,0,10000,0,0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Platinum,AK
279,1600000US0233910,region.place,2013,20000,18438,0,5417,10625,0,0,0,0,20417,0.0,50.0,0.0,8.3,41.7,0.0,0.0,0.0,0.0,Hughes,AK
280,1600000US0259650,region.place,2013,0,31250,31875,31250,31250,0,0,40938,0,0,0.0,0.0,0.0,53.3,20.0,26.7,0.0,0.0,0.0,Pelican,AK
286,1600000US0264240,region.place,2013,0,0,75417,75833,66375,0,0,0,0,66375,0.0,0.0,0.0,0.0,24.1,0.0,34.5,20.7,20.7,Primrose,AK
287,1600000US0284200,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Whitestone Logging Camp,AK
289,1600000US0285290,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Willow Creek,AK
290,1600000US0252845,region.place,2013,0,0,0,42375,41000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Naukati Bay,AK
293,1600000US0219750,region.place,2013,0,4583,0,0,4583,0,0,0,0,11250,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Dot Lake Village,AK
296,1600000US0252940,region.place,2013,0,32875,0,11667,12292,0,0,32625,11875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Nelson Lagoon,AK
299,1600000US0262510,region.place,2013,0,12083,0,19583,16667,0,0,0,0,28750,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Port Alexander,AK
300,1600000US0263870,region.place,2013,0,0,0,0,13810,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Port Protection,AK
301,1600000US0254260,region.place,2013,68750,32500,0,25500,25500,0,0,10000,0,53750,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,Nikolski,AK
303,1600000US0222140,region.place,2013,0,29375,0,0,32083,0,0,0,0,31250,0.0,0.0,0.0,42.9,0.0,57.1,0.0,0.0,0.0,Elfin Cove,AK
305,1600000US0242805,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Lake Louise,AK
308,1600000US0234790,region.place,2013,30000,27083,0,65000,33750,0,0,0,0,48750,0.0,0.0,0.0,50.0,12.5,0.0,0.0,37.5,0.0,Igiugig,AK
310,1600000US0280100,region.place,2013,0,61250,71042,70625,70625,0,76250,25000,0,30625,0.0,10.0,0.0,10.0,0.0,0.0,60.0,20.0,0.0,Ugashik,AK
311,1600000US0226835,region.place,2013,0,0,0,0,33750,0,0,0,0,0,0.0,0.0,0.0,61.5,0.0,0.0,0.0,0.0,38.5,Four Mile Road,AK
312,1600000US0244580,region.place,2013,0,0,53438,13125,12344,0,0,0,0,11875,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,Livengood,AK
313,1600000US0223900,region.place,2013,0,0,62708,63958,63958,0,0,0,0,0,21.7,26.1,0.0,0.0,0.0,26.1,0.0,0.0,26.1,Excursion Inlet,AK
314,1600000US0201390,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Alcan Border,AK
315,1600000US0259540,region.place,2013,0,23750,0,8750,13750,0,0,0,0,18750,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Pedro Bay,AK
316,1600000US0270870,region.place,2013,0,0,0,0,13750,0,0,0,0,0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Skwentna,AK
320,1600000US0231270,region.place,2013,30000,30000,0,0,23750,21250,0,0,0,0,0.0,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,Halibut Cove,AK
321,1600000US0264820,region.place,2013,0,0,0,0,43000,0,0,0,43000,0,0.0,8.3,0.0,33.3,41.7,16.7,0.0,0.0,0.0,Rampart,AK
323,1600000US0206630,region.place,2013,0,0,0,31875,55625,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Bettles,AK
325,1600000US0237540,region.place,2013,0,0,0,0,13438,0,0,0,0,0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Karluk,AK
326,1600000US0273950,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Sunrise,AK
328,1600000US0242820,region.place,2013,0,0,0,12917,10625,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Lake Minchumina,AK
329,1600000US0224660,region.place,2013,0,0,0,18750,16250,0,0,16667,0,0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,False Pass,AK
330,1600000US0248200,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Mendeltna,AK
332,1600000US0204670,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Attu Station,AK
338,1600000US0201305,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alatna,AK
362,1600000US0135896,region.place,2013,46345,32181,66055,48991,38863,52272,65181,27111,19357,36408,2.7,10.0,1.2,12.9,18.6,14.0,5.3,13.6,21.7,Hoover,AL
372,1600000US0100820,region.place,2013,42188,26523,55368,45527,33691,54199,56308,25570,18306,39279,3.2,15.5,0.5,14.3,18.3,16.4,7.9,13.9,10.0,Alabaster,AL
